NSE Ticker,Name
AKSHARCHEM,AKSHARCHEM INDIA LIMITED 
AKSHOPTFBR,AKSH OPTIFIBRE  LTD      
AKUMS,AKUMS DRUGS AND PHARMA L 
ALANKIT,ALANKIT LIMITED          
ALBERTDAVD,ALBERT DAVID LIMITED     
ALCODIS,ALCOKRAFT DISTILLERIE LTD
ALEMBICLTD,ALEMBIC LIMITED          
ALGOQUANT,ALGOQUANT FINTECH LIMITED
ALICON,ALICON CASTALLOY LIMITED 
ALIVUS,ALIVUS LIFE SCIENCES LTD 
ALKALI,ALKALI METALS LTD        
ALKEM,ALKEM LABORATORIES LTD.  
ALKYLAMINE,ALKYL AMINES CHEM. LTD   
ALLCARGO,ALLCARGO LOGISTICS LTD   
ALLDIGI,ALLDIGI TECH LIMITED     
ALLETEC,ALL E TECHNOLOGIES LTD   
ALLTIME,ALL TIME PLASTICS LIMITED
ALMONDZ,ALMONDZ GLOBAL SEC LTD   
ALOKINDS,ALOK INDUSTRIES LIMITED  
ALPA,ALPA LABORATORIES LTD    
ALPEXSOLAR,ALPEX SOLAR LIMITED      
ALPHAGEO,ALPHAGEO (INDIA) LIMITED 
ALPINETEX,ALPINE TEXWORLD LIMITED  
ALUWIND,ALUWIND INFRA-TECH LTD   
AMAGI,AMAGI MEDIA LABS LIMITED 
AMANTA,AMANTA HEALTHCARE LIMITED
AMBAAUTO,AMBA AUTO SALES AND SER L
AMBALALSA,AMBALAL SARABHAI ENT L   
AMBANIORGO,AMBANI ORGOCHEM LIMITED  
AMBER,AMBER ENTERPRISES (I) LTD
AMBICAAGAR,AMBICA AGAR & AROMAINDLTD
AMBIKCO,AMBIKA COTTON MILL LTD.  
AMBUJACEM,AMBUJA CEMENTS LTD       
AMCL,ANB METAL CAST LIMITED   
AMDIND,AMD INDUSTRIES LIMITED   
AMEYA,AMEYA PRECISION ENG LTD  
AMIABLE,AMIABLE LOGISTICS (I) LTD
AMJLAND,AMJ LAND HOLDINGS LIMITED
AMNPLST,AMINES & PLASTICIZERS LTD
AMRUTANJAN,AMRUTAJAN HEALTH LTD     
ANANDRATHI,ANAND RATHI WEALTH LTD   
ANANTAM,ANANTAM HIGHWAYS TRUST   
ANANTRAJ,ANANT RAJ LIMITED        
ANAWIL,ANAWIL WIRE AND ENGIN LTD
ANDHRAPAP,ANDHRA PAPER LIMITED     
ANDHRSUGAR,ANDHRA SUGARS LTD        
ANGELONE,ANGEL ONE LIMITED        
ANIKINDS,ANIK INDUSTRIES LTD      
ANKITMETAL,ANKIT MET & POW LTD      
ANLON,ANLON TECHNOLOGY SOL LTD 
ANMOL,ANMOL INDIA LIMITED      
ANNAPURNA,ANNAPURNA SWADISHT LTD   
ANONDITA,ANONDITA MEDICARE LIMITED
ANSALAPI,ANSAL PROP & INFRA LTD   
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD
ANTGRAPHIC,ANTARCTICA LTD           
ANTHEM,ANTHEM BIOSCIENCES LTD   
ANUHPHR,ANUH PHARMA LIMITED      
ANUP,THE ANUP ENGINEERING LTD 
ANURAS,ANUPAM RASAYAN INDIA LTD 
ANYA,ANYA POLYTECH & FERTI LTD
ANZEN,ANZEN IND ENE YLD PLU TRU
APARINDS,APAR INDUSTRIES LTD.     
APCL,ANJANI PORTLAND CEM LTD  
APCOTEXIND,APCOTEX INDUSTRIES LIMITE
APEX,APEX FROZEN FOODS LIMITED
APEXECO,APEX ECOTECH LIMITED     
APLAPOLLO,APL APOLLO TUBES LTD     
APLLTD,ALEMBIC PHARMA LTD       
APOLLO,APOLLO MICRO SYSTEMS LTD 
APOLLOHOSP,APOLLO HOSPITALS ENTER. L
APOLLOPIPE,APOLLO PIPES LIMITED     
APOLLOTYRE,APOLLO TYRES LTD         
APOLSINHOT,APOLLO SINDOORI HOTEL LTD
APRAMEYA,APRAMEYA ENGINEERING LTD 
APS,AUSTRALIAN PREM SOLAR I L
APSISAERO,APSIS AEROCOM LIMITED    
APTECHT,APTECH LIMITED           
APTUS,APTUS VALUE HSG FIN I LTD
AQYLON,AQYLON NEXUS LIMITED     
ARABIAN,ARABIAN PETROLEUM LIMITED
ARCHIDPLY,ARCHIDPLY IND. LTD       
ARCHIES,ARCHIES LTD              
ARCIIL,ARC INSULATION & INSU LTD
ARDEE,ARDEE INDUSTRIES LIMITED 
ARE&M,AMARA RAJA ENERGY MOB LTD
ARENTERP,RAJDARSHAN INDUSTRIES LTD
ARFIN,ARFIN INDIA LIMITED      
ARHAM,ARHAM TECHNOLOGIES LTD   
ARIES,ARIES AGRO LTD.          
ARIHANT,ARIHANT FOUN & HOU LTD   
ARIHANTACA,ARIHANT ACADEMY LIMITED  
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD 
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD  
ARIS,ARISINFRA SOLUTIONS LTD  
ARISTO,ARISTO BIO T AND LIFESC L
ARKADE,ARKADE DEVELOPERS LIMITED
ARMANFIN,ARMAN FIN SERV LTD       
ARMOUR,ARMOUR SECURITY (INDIA) L
AROGRANITE,ARO GRANITE IND. LTD.    
ARROWGREEN,ARROW GREENTECH LIMITED  
ARSHIYA,ARSHIYA LIMITED          
ARSSBL,ANAND RATHI SH N STK BR L
ARTEMISMED,ARTEMIS MED SERVICE LTD  
ARTNIRMAN,ART NIRMAN LIMITED       
ARUNAYA,ARUNAYA ORGANICS LIMITED 
ARVEE,ARVEE LABORATORIES I LTD 
ARVIND,ARVIND LIMITED           
ARVINDFASN,ARVIND FASHIONS LIMITED  
ARVINDPORT,ARVIND PORT AND INFRA LTD
ARVSMART,ARVIND SMARTSPACES LTD   
ASAHIINDIA,ASAHI INDIA GLASS LIMITED
ASAHISONG,ASAHI SONGWON COLOR LTD  
ASAL,AUTOMOTIVE STAMPINGS & AS
ASALCBR,ASSO ALCOHOLS & BREW LTD 
ASCOM,ASCOM LEASIN & INVEST LTD
ASHALOG,ASHAPURA LOGISTICS LTD   
ASHAPURMIN,ASHAPURA MINECHEM LTD    
ASHIANA,ASHIANA HOUSING LTD      
ASHIKAG,ASHIKA GLOBAL SEC LTD    
ASHIMASYN,ASHIMA LTD               
ASHOKA,ASHOKA BUILDCON LTD      
ASHOKAMET,ASHOKA METCAST LIMITED   
ASHOKLEY,ASHOK LEYLAND LTD        
ASHWINI,ASHWINI CONTAINER MOVER L
ASIANENE,ASIAN ENERGY SERVICES LTD
ASIANHOTNR,ASIAN HOTELS (NORTH) LTD 
ASIANPAINT,ASIAN PAINTS LIMITED     
ASIANTILES,ASIAN GRANITO IND. LTD.  
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED   
ASMS,AVIO SMART MRKT STACK LTD
ASPINWALL,ASPINWALL & CO LTD       
ASPIRE,ASPIRE & INNOVATIVE ADV L
ASTAR,ASIAN STAR CO. LTD.      
ASTEC,ASTEC LIFESCIENCES LTD   
ASTERDM,ASTER DM QUALITY CARE LTD
ASTRAL,ASTRAL LIMITED           
ASTRAMICRO,ASTRA MICROWAVE LTD      
ASTRAZEN,ASTRAZENECA PHARMA IND LT
ASTRON,ASTRON PAPER BORD MIL LTD
ATALREAL,ATAL REALTECH LIMITED    
ATAM,ATAM VALVES LIMITED      
ATCENERGY,ATC ENERGIES SYSTEM LTD  
ATGL,ADANI TOTAL GAS LIMITED  
ATHERENERG,ATHER ENERGY LIMITED     
ATL,ALLCARGO TERMINALS LTD   
ATLANTAA,ATLANTAA LIMITED         
ATLANTAELE,ATLANTA ELECTRICALS LTD  
ATLASCYCLE,ATLAS CYCLE (HARYANA) LTD
ATMASTCO,ATMASTCO LIMITED         
ATUL,ATUL LTD                 
ATULAUTO,ATUL AUTO LIMITED        
AUBANK,AU SMALL FINANCE BANK LTD
AURIONPRO,AURIONPRO SOLN LTD       
AUROIMPEX,AURO IMPEX & CHEMICALS L 
AUROPHARMA,AUROBINDO PHARMA LTD     
AURUM,AURUM PROPTECH LIMITED   
AURUS,AURUS GEM CORP LIMITED   
AUSL,ADITYA ULTRA STEEL LTD   
AUSOMENT,AUSOM ENTERPRISE LIMITED 
AUTOAXLES,AUTOMOTIVE AXLES LIMITED 
AUTOIND,AUTOLINE INDUSTRIES LTD  
AVADHSUGAR,AVADH SUG & ENERGY LTD   
AVALON,AVALON TECHNOLOGIES LTD  
AVANA,AVANA ELECTROSYSTEMS LTD 
AVANTEL,AVANTEL LIMITED          
AVANTIFEED,AVANTI FEEDS LIMITED     
AVATAR,AVATAR INDUSTRIES LIMITED
AVG,AVG LOGISTICS LIMITED    
AVIANSH,AVI ANSH TEXTILE LIMITED 
AVIENCE,AVIENCE BIOMEDICALS LTD  
AVL,ADITYA VISION LIMITED    
AVONMORE,AVONMORE CAP&MGT SERV LTD
AVPINFRA,AVP INFRACON LIMITED     
AVROIND,AVRO INDIA LIMITED       
AVSL,AVSL INDUSTRIES LIMITED  
AVTNPL,AVT NATURAL PRODUCTS LTD 
AWFIS,AWFIS SPACE SOLUTIONS LTD
AWHCL,ANTONY WASTE HDG CELL LTD
AWL,AWL AGRI BUSINESS LIMITED
AXISBANK,AXIS BANK LIMITED        
AXISCADES,AXISCADES TECH LTD       
AXITA,AXITA COTTON LIMITED     
AYE,AYE FINANCE LIMITED      
AYMSYNTEX,AYM SYNTEX LIMITED       
AZAD,AZAD ENGINEERING LIMITED 
BABAFP,BABA FOOD PROCESSING     
BAFNAPH,BAFNA PHARMACEUTICALS LTD
BAGDIGITAL,B.A.G.CONVERGENCE LIMITED
BAGFILMS,B.A.G FILMS AND MEDIA LTD
BAGMANE,BAGMANE PRIME OFFICE REIT
BAHETI,BAHETI RECYCLING IND LTD 
BAIDFIN,BAID FINSERV LIMITED     
BAJAJ-AUTO,BAJAJ AUTO LIMITED       
BAJAJCON,BAJAJ CONSUMER CARE LTD  
BAJAJELEC,BAJAJ ELECT.LTD          
BAJAJFINSV,BAJAJ FINSERV LTD.       
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED 
BAJAJHFL,BAJAJ HOUSING FINANCE LTD
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD
BAJAJINDEF,INDEF MANUFACTURING LTD  
BAJAJST,BAJAJ STEEL INDS. LTD.   
BAJEL,BAJEL PROJECTS LIMITED   
BAJFINANCE,BAJAJ FINANCE LIMITED    
BALAJEE,SHREE TIRUPATI BALAJEE L 
BALAJIPHOS,BALAJI PHOSPHATES LIMITED
BALAJITELE,BALAJI TELEFILMS LIMITED.
BALAMINES,BALAJI AMINES LIMITED    
BALAXI,BALAXI PHARMA LTD        
BALCO,SOLVE PLASTIC PRODUCTS L 
BALKRISHNA,BALKRISHNA PAPER MILLS L 
BALKRISIND,BALKRISHNA IND. LTD      
BALMLAWRIE,BALMER LAWRIE & CO LTD   
BALPHARMA,BAL PHARMA LTD.          
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD
BALUFORGE,BALU FORGE INDUSTRIES LTD
BANARBEADS,BANARAS BEADS LTD        
BANARISUG,BANNARI AMMAN SUGARS LTD 
BANCOINDIA,BANCO PRODUCTS (I) LTD   
BANDHANBNK,BANDHAN BANK LIMITED     
BANG,BANG OVERSEAS LTD.       
BANKA,BANKA BIOLOO LIMITED     
BANKBARODA,BANK OF BARODA           
BANKINDIA,BANK OF INDIA            
BANSALWIRE,BANSAL WIRE INDUSTRIES L 
BANSWRAS,BANSWARA SYNTEX LIMITED  
BARFLEX,BARFLEX POLYFILMS LIMITED
BASF,BASF INDIA LTD           
BASILIC,BASILIC FLY STUDIO LTD   
BASML,BANNARI AM SPIN MILL LTD.
BATAINDIA,BATA INDIA LTD           
BATLIBOI,BATLIBOI LTD.            
BAWEJA,BAWEJA STUDIOS LIMITED   
BAYERCROP,BAYER CROPSCIENCE LTD    
BBL,BHARAT BIJLEE LTD        
BBOX,BLACK BOX LIMITED        
BBTC,BOMBAY BURMAH TRADING COR
BBTCL,B&B TRIPLEWALL CONT LTD  
BCG,BRIGHTCOM GROUP LIMITED  
BCLIND,BCL INDUSTRIES LIMITED   
BCONCEPTS,BRAND CONCEPTS LIMITED   
BCPL,BCPL RAILWAY INFRA LTD   
BDL,BHARAT DYNAMICS LIMITED  
BDR,BDR BUILDCON LIMITED     
BEACON,BEACON TRUSTEESHIP LTD   
BEARDSELL,BEARDSELL LIMITED        
BECTORFOOD,MRS BECTORS FOOD SPE LTD 
BEDMUTHA,BEDMUTHA INDUST LTD      
BEEKAY,BEEKAY STEEL INDS. LTD.  
BEL,BHARAT ELECTRONICS LTD   
BELLACASA,BELLA CASA FASH AND RET L
BELRISE,BELRISE INDUSTRIES LTD   
BEML,BEML LIMITED             
BENGALASM,BENGAL & ASSAM CO. LTD.  
BEPL,BHANSALI ENG. POLYMERS LT
BERGEPAINT,BERGER PAINTS (I) LTD    
BESTAGRO,BEST AGROLIFE LIMITED    
BETA,BETA DRUGS LIMITED       
BEWLTD,BEW ENGINEERING LIMITED  
BFINVEST,BF INVESTMENT LIMITED    
BFUTILITIE,BF UTILITIES LIMITED     
BGRENERGY,BGR ENERGY SYSTEMS LTD   
BHADORA,BHADORA INDUSTRIES LTD   
BHAGCHEM,BHAGIRADHA CHEM & INDS L 
BHAGERIA,BHAGERIA INDUSTRIES LTD  
BHAGYANGR,BHAGYANAGAR INDIA LIMITED
BHANDARI,BHANDARI HOSIERY EXP LTD 
BHARATCOAL,BHARAT COKING COAL LTD   
BHARATFORG,BHARAT FORGE LTD         
BHARATGEAR,BHARAT GEARS LTD         
BHARATRAS,BHARAT RASAYAN LTD       
BHARATSE,BHARAT SEATS LIMITED     
BHARATWIRE,BHARAT WIRE ROPES LTD.   
BHARTIARTL,BHARTI AIRTEL LIMITED    
BHARTIHEXA,BHARTI HEXACOM LIMITED   
BHEL,BHEL                     
BI,BILCARE LTD.             
BIGBLOC,BIGBLOC CONSTRUCTION LTD 
BIKAJI,BIKAJI FOODS INTERN LTD  
BIKEWO,BIKEWO GREEN TECH LIMITED
BIL,BHARTIYA INTERNATIONAL   
BILVYAPAR,BIL VYAPAR LIMITED       
BIMETAL,BIMETAL BEARINGS LTD.    
BIOCON,BIOCON LIMITED.          
BIOFILCHEM,BIOFIL CHEM & PHARMA LTD 
BIOPOL,BIOPOL CHEMICALS LIMITED 
BIRDYS,GRILL SPLENDOUR SER LTD  
BIRET,BROOKFIELD INDIA RET     
BIRLACABLE,BIRLA CABLE LIMITED      
BIRLACORPN,BIRLA CORPORATION LTD    
BIRLAMONEY,ADITYA BIRLA MONEY LTD   
BIRLANU,BIRLANU LIMITED          
BIRLAPREC,BIRLA PRECISION TECH L   
BLACKBUCK,BLACKBUCK LIMITED        
BLACKROSE,BLACK ROSE INDS. LTD.    
BLAL,BEML LAND ASSETS LIMITED 
BLBLIMITED,BLB LIMITED              
BLIL,BALMER LAWRIE INVSTS. L  
BLISSGVS,BLISS GVS PHARMA LTD     
BLKASHYAP,B.L.KASHYAP & SON LTD    
BLS,BLS INTL SERVS LTD       
BLSE,BLS E-SERVICES LIMITED   
BLUECHIP,BLUE CHIP INDIA LIMITED  
BLUECOAST,BLUE COAST HOTELS LIMITED
BLUEDART,BLUE DART EXPRESS LTD    
BLUEJET,BLUE JET HEALTHCARE LTD  
BLUEPEBBLE,BLUE PEBBLE LIMITED      
BLUESTARCO,BLUE STAR LIMITED        
BLUESTONE,BLUESTONE JEWEL LFSTL LTD
BLUEWATER,BLUE WATER LOGISTICS LTD 
BLUSPRING,BLUSPRING ENTERPRISES LTD
BMETRICS,BOMBAY METRICS S C LTD   
BMLL,BIO MEDICA LABORATORIES L
BMWVENTLTD,BMW VENTURES LIMITED     
BNAGROCHEM,BN AGROCHEM LTD.         
BNALTD,B & A LTD.               
BODALCHEM,BODAL CHEMICALS LTD      
BOHRAIND,BOHRA INDUSTRIES LIMITED 
BOMDYEING,BOMBAY DYEING & MFG. CO L
BONLON,BONLON INDUSTRIES LIMITED
BORANA,BORANA WEAVES LIMITED    
BOROLTD,BOROSIL LIMITED          
BORORENEW,BOROSIL RENEWABLES LTD   
BOROSCI,BOROSIL SCIENTIFIC LTD   
BOSCH-HCIL,BOSCH HOME COMFRT IND LTD
BOSCHLTD,BOSCH LIMITED            
BOSS,BOSS PACKAGING SOLU LTD  
BPCL,BHARAT PETROLEUM CORP  LT
BPL,BPL LTD                  
BRACEPORT,BRACE PORT LOGISTICS LTD 
BRANDMAN,BRANDMAN RETAIL LIMITED  
BRIGADE,BRIGADE ENTER. LTD       
BRIGHOTEL,BRIGADE HOTEL VENTURE LTD
BRITANNIA,BRITANNIA INDUSTRIES LTD 
BRNL,BHARAT ROAD NETWORK LTD  
BROOKS,BROOKS LAB LIMITED       
BSE,BSE LIMITED              
BSHSL,BOMBAY SUPER HYBRID SEEDS
BSL,BSL LTD                  
BSOFT,BIRLASOFT LIMITED        
BTML,BODHI TREE MULTIMEDIA LTD
BTTL,BHILWARA TECHNICAL TEXT L
BUILDPRO,SHANKARA BUILDPRO LIMITED
BULKCORP,BULKCORP INTERNATIONAL L 
BURNPUR,BURNPUR CEMENT LIMITED   
BUTTERFLY,BTRFLY GANDHI APPL LTD   
BVCL,BARAK VALLEY CEM. LTD.   
BYKE,THE BYKE HOSPITALITY LTD 
C2C,C2C ADVANCED SYSTEMS LTD 
CADSYS,CADSYS (INDIA) LIMITED   
CALSOFT,CALIFORNIA SOFTWARE CO LT
CAMLINFINE,CAMLIN FINE SCIENCES LTD 
CAMPUS,CAMPUS ACTIVEWEAR LIMITED
CAMS,COMPUTER AGE MNGT SER LTD
CANARYS,CANARYS AUTOMATIONS LTD  
CANBK,CANARA BANK              
CANFINHOME,CAN FIN HOMES LTD        
CANHLIFE,CANARA HSBC LIFE INS CO L
CANTABIL,CANTABIL RETAIL LTD      
CAPACITE,CAPACITE INFRAPROJECT LTD
CAPILLARY,CAPILLARY TECHNO INDIA L 
CAPINVIT,CAPITAL INFRA TRUST      
CAPITALSFB,CAPITAL SMALL FIN BANK L 
CAPLIPOINT,CAPLIN POINT LAB LTD.    
CAPTRUST,CAPITAL TRUST LIMITED    
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD
CARERATING,CARE RATINGS LIMITED     
CARRARO,CARRARO INDIA LIMITED    
CARTRADE,CARTRADE TECH LIMITED    
CARYSIL,CARYSIL LIMITED          
CASTROLIND,CASTROL INDIA LIMITED    
CBAZAAR,NET AVENUE TECHNOLOGIES L
CCAVENUE,AVENUESAI LIMITED        
CCCL,CONS. CONST. CONSORT LTD 
CCHHL,COUNTRY CLUB HOSP HOL LTD
CCL,CCL PRODUCTS (I) LTD     
CDSL,CENTRAL DEPO SER (I) LTD 
CEATLTD,CEAT LIMITED             
CEDAAR,CEDAAR TEXTILE LIMITED   
CEIGALL,CEIGALL INDIA LIMITED    
CEINSYS,CEINSYS TECH LIMITED     
CELEBRITY,CELEBRITY FASHIONS LTD   
CELLECOR,CELLECOR GADGETS LIMITED 
CELLO,CELLO WORLD LIMITED      
CELLPOINT,CELL POINT (INDIA) LTD   
CEMPRO,CEMINDIA PROJECTS LIMITED
CENTENKA,CENTURY ENKA LTD         
CENTEXT,CENTURY EXTRUSIONS LTD   
CENTRALBK,CENTRAL BANK OF INDIA    
CENTRUM,CENTRUM CAPITAL LIMITED  
CENTUM,CENTUM ELECTRONICS LTD   
CENTURYPLY,CENTURY PLYBOARDS (I) LTD
CERA,CERA SANITARYWARE LTD    
CEREBRAINT,CEREBRA INT TECH LTD     
CESC,CESC LTD                 
CEWATER,CONCORD ENVIRO SYSTEMS L 
CGCL,CAPRI GLOBAL CAPITAL LTD 
CGPOWER,CG POWER AND IND SOL LTD 
CGRAPHICS,CREATIVE GRAPHICS S IND L
CHALET,CHALET HOTELS LIMITED    
CHAMBLFERT,CHAMBAL FERTILIZERS LTD  
CHAMUNDA,CHAMUNDA ELECTRICAL LTD  
CHANDAN,CHANDAN HEALTHCARE LTD   
CHAVDA,CHAVDA INFRA LIMITED     
CHEMBOND,CHEMBOND MATERIALTECH LTD
CHEMBONDCH,CHEMBOND CHEMICAL LIMITED
CHEMCON,CHEMCON SPECIAL CHEM LTD 
CHEMFAB,CHEMFAB ALKALIS LIMITED  
CHEMPLASTS,CHEMPLAST SANMAR LIMITED 
CHENNPETRO,CHENNAI PETROLEUM CORP LT
CHETANA,CHETANA EDUCATION LIMITED
CHEVIOT,CHEVIOT COMPANY LIMITED  
CHOICEIN,CHOICE INTERNATIONAL LTD 
CHOLAFIN,CHOLAMANDALAM IN & FIN CO
CHOLAHLDNG,CHOLAMANDALAM FIN HOL LTD
CIEINDIA,CIE AUTOMOTIVE INDIA LTD 
CIFL,CAPITAL INDIA FINANCE LTD
CINELINE,CINELINE INDIA LIMITED   
CINEVISTA,CINEVISTA LIMITED        
CIPLA,CIPLA LTD                
CITIUSINVT,CITIUS TRANSNET INV TRUST
CKKRETAIL,C K K RETAIL MART LIMITED
CLASSICEIL,CLASSIC ELECTRODE (IND) L
CLAYCRAFT,CLAY CRAFT INDIA LIMITED 
CLCIND,CLC INDUSTRIES LIMITED   
CLEAN,CLEAN SCIENCE & TECH LTD 
CLEANMAX,CLEAN MAX ENVIRO EN SOL L
CLEDUCATE,CL EDUCATE LIMITED       
CLSEL,CHAMAN LAL SETIA EXP LTD 
CLSL,CROP LIFE SCIENCE LIMITED
CMLL,CALIBER MINING AND LOG L 
CMNL,CHAMAN METALLICS LIMITED 
CMPDI,CENTRAL MINE P N D INST L
